schema_version,session_id,ts_utc_ms,elapsed_ms,source,metric,value,unit,status,reason,scope,sample_count
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664986789,112965,psutil,process_cpu_pct_raw,272.5,percent,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664986789,112965,psutil,process_cpu_pct,13.625,percent,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664986789,112965,psutil,process_memory_mb,3240.7734375,MiB,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664986789,112965,windows_pdh,process_gpu_pct,,percent,unavailable,OSError: PdhCollectQueryData=0x-7FFFF82B,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664987779,113955,psutil,process_cpu_pct_raw,236.4,percent,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664987779,113955,psutil,process_cpu_pct,11.82,percent,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664987779,113955,psutil,process_memory_mb,3240.77734375,MiB,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664987779,113955,windows_pdh,process_gpu_pct,,percent,unavailable,OSError: PdhCollectQueryData=0x-7FFFF82B,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664988784,114960,psutil,process_cpu_pct_raw,292.5,percent,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664988784,114960,psutil,process_cpu_pct,14.625,percent,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664988784,114960,psutil,process_memory_mb,3242.0546875,MiB,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664988784,114960,windows_pdh,process_gpu_pct,,percent,unavailable,OSError: PdhCollectQueryData=0x-7FFFF82B,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664988784,114960,nvidia-smi,device_gpu_util_pct,89.0,percent,ok,,device,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664988784,114960,nvidia-smi,device_vram_used_mb,2098.0,MiB,ok,,device,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664988784,114960,nvidia-smi,device_gpu_temperature_c,66.0,celsius,ok,,device,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664988784,114960,nvidia-smi,device_gpu_power_w,154.28,watt,ok,,device,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664988784,114960,nvidia-smi,device_gpu_clock_mhz,1965.0,MHz,ok,,device,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664989790,115966,psutil,process_cpu_pct_raw,281.2,percent,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664989790,115966,psutil,process_cpu_pct,14.059999999999999,percent,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664989790,115966,psutil,process_memory_mb,3242.05859375,MiB,ok,,process,
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664987000,113176,presentmon,app_fps,201.85497763934083,fps,ok,,process,203
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664987000,113176,presentmon,frame_time_avg_ms,4.954051724137931,ms,ok,,process,203
0.1,ffbe55b9-da45-4cd6-9d6b-000e22678788,1787664987000,113176,presentmon,frame_time_p95_ms,6.562,ms,ok,,process,203
