schema_version,session_id,ts_utc_ms,elapsed_ms,source,metric,value,unit,status,reason,scope,sample_count
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673109712,8098,psutil,process_cpu_pct_raw,646.9,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673109712,8098,psutil,process_cpu_pct,32.345,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673109712,8098,psutil,process_memory_mb,7815.9375,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673109712,8098,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673109712,8098,windows_pdh,process_gpu_pct,95.12175311780126,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673110702,9088,psutil,process_cpu_pct_raw,693.2,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673110702,9088,psutil,process_cpu_pct,34.660000000000004,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673110702,9088,psutil,process_memory_mb,7815.0078125,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673110702,9088,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673110702,9088,windows_pdh,process_gpu_pct,98.02128825368727,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673111707,10093,psutil,process_cpu_pct_raw,632.7,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673111707,10093,psutil,process_cpu_pct,31.635,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673111707,10093,psutil,process_memory_mb,7822.16015625,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673111707,10093,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673111707,10093,windows_pdh,process_gpu_pct,98.14418406433877,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112713,11099,psutil,process_cpu_pct_raw,635.9,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112713,11099,psutil,process_cpu_pct,31.794999999999998,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112713,11099,psutil,process_memory_mb,7821.421875,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112713,11099,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673109000,7386,presentmon,app_fps,46.163052517798114,fps,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673109000,7386,presentmon,frame_time_avg_ms,21.66234565217391,ms,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673109000,7386,presentmon,frame_time_p95_ms,25.7667,ms,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673109000,7386,presentmon,gpu_busy_median_ms,21.3329,ms,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673109000,7386,presentmon,gpu_busy_p95_ms,22.339,ms,ok,,process,46
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112713,11099,windows_pdh,process_gpu_pct,98.26418379501284,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112713,11099,nvidia-smi,device_gpu_util_pct,96.0,percent,ok,,device,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112713,11099,nvidia-smi,device_vram_used_mb,4992.0,MiB,ok,,device,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112713,11099,nvidia-smi,device_gpu_temperature_c,65.0,celsius,ok,,device,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112713,11099,nvidia-smi,device_gpu_power_w,148.71,watt,ok,,device,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112713,11099,nvidia-smi,device_gpu_clock_mhz,1965.0,MHz,ok,,device,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673113703,12089,psutil,process_cpu_pct_raw,606.0,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673113703,12089,psutil,process_cpu_pct,30.3,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673113703,12089,psutil,process_memory_mb,7821.57421875,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673113703,12089,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673110000,8386,presentmon,app_fps,46.97099071613372,fps,ok,,process,47
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673110000,8386,presentmon,frame_time_avg_ms,21.289736170212766,ms,ok,,process,47
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673110000,8386,presentmon,frame_time_p95_ms,25.7105,ms,ok,,process,47
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673110000,8386,presentmon,gpu_busy_median_ms,20.7249,ms,ok,,process,47
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673110000,8386,presentmon,gpu_busy_p95_ms,22.416,ms,ok,,process,47
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673113703,12089,windows_pdh,process_gpu_pct,98.1415771365874,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673114709,13095,psutil,process_cpu_pct_raw,583.4,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673114709,13095,psutil,process_cpu_pct,29.169999999999998,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673114709,13095,psutil,process_memory_mb,7822.07421875,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673114709,13095,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673111000,9386,presentmon,app_fps,47.876817735647954,fps,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673111000,9386,presentmon,frame_time_avg_ms,20.886935416666667,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673111000,9386,presentmon,frame_time_p95_ms,26.3904,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673111000,9386,presentmon,gpu_busy_median_ms,20.4298,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673111000,9386,presentmon,gpu_busy_p95_ms,21.7772,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673114709,13095,windows_pdh,process_gpu_pct,97.48258383818425,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673115714,14100,psutil,process_cpu_pct_raw,575.0,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673115714,14100,psutil,process_cpu_pct,28.75,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673115714,14100,psutil,process_memory_mb,7827.140625,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673115714,14100,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112000,10386,presentmon,app_fps,48.33863631671676,fps,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112000,10386,presentmon,frame_time_avg_ms,20.687385416666668,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112000,10386,presentmon,frame_time_p95_ms,24.0402,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112000,10386,presentmon,gpu_busy_median_ms,20.155050000000003,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673112000,10386,presentmon,gpu_busy_p95_ms,21.4732,ms,ok,,process,48
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673115714,14100,windows_pdh,process_gpu_pct,94.11929195448703,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673116705,15091,psutil,process_cpu_pct_raw,713.8,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673116705,15091,psutil,process_cpu_pct,35.69,percent,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673116705,15091,psutil,process_memory_mb,7828.04296875,MiB,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673116705,15091,win32_foreground,game_foreground,1.0,boolean,ok,,process,
0.1,de879c93-e652-4062-858a-5e3e8947b4f8,1787673113000,11386,presentmon,app_fps,47.09019184443966,fps,ok,,process,47
